name,circuit,president,circuit_join
"Lee, Kenneth Kiyul",Ninth,Donald J. Trump,Ninth Circuit
"Leval, Pierre Nelson",Second,Jimmy Carter,Second Circuit
"Linn, Richard",Federal,William J. Clinton,Federal Circuit
"Lipez, Kermit Victor",First,William J. Clinton,First Circuit
"Livingston, Debra Ann",Second,George W. Bush,Second Circuit
"Lohier, Raymond Joseph, Jr.",Second,Barack Obama,Second Circuit
"Loken, James B.",Eighth,George H.W. Bush,Eighth Circuit
"Lourie, Alan David",Federal,George H.W. Bush,Federal Circuit
"Lucero, Carlos F.",Tenth,William J. Clinton,Tenth Circuit
"Luck, Robert Joshua",Eleventh,Donald J. Trump,Eleventh Circuit
"Lynch, Gerard E.",Second,William J. Clinton,Second Circuit
"Lynch, Sandra Lea",First,William J. Clinton,First Circuit
"Manion, Daniel Anthony",Seventh,Ronald Reagan,Seventh Circuit
"Marcus, Stanley",Eleventh,Ronald Reagan,Eleventh Circuit
"Matey, Paul Brian",Third,Donald J. Trump,Third Circuit
"Matheson, Scott Milne, Jr.",Tenth,Barack Obama,Tenth Circuit
"Mathis, Andre Bernard",Sixth,Joseph R. Biden,Sixth Circuit
"Mayer, Haldane Robert",Federal,Ronald Reagan,Federal Circuit
"McHugh, Carolyn Baldwin",Tenth,Barack Obama,Tenth Circuit
"McKeague, David William",Sixth,George H.W. Bush,Sixth Circuit
"McKee, Theodore Alexander",Third,William J. Clinton,Third Circuit
"McKeown, M. Margaret",Ninth,William J. Clinton,Ninth Circuit
"Melloy, Michael Joseph",Eighth,George H.W. Bush,Eighth Circuit
"Menashi, Steven James",Second,Donald J. Trump,Second Circuit
"Mendoza, Salvador, Jr.",Ninth,Barack Obama,Ninth Circuit
"Merriam, Sarah Ann Leilani",Second,Joseph R. Biden,Second Circuit
"Miller, Eric David",Ninth,Donald J. Trump,Ninth Circuit
"Millett, Patricia Ann",District,Barack Obama,District Of Columbia Circuit
"Montecalvo, Lara Elizabeth",First,Joseph R. Biden,First Circuit
"Montgomery-Reeves, Tamika Renee",Third,Joseph R. Biden,Third Circuit
"Moore, Karen Nelson",Sixth,William J. Clinton,Sixth Circuit
"Moore, Kimberly Ann",Federal,George W. Bush,Federal Circuit
"Moritz, Nancy Louise",Tenth,Barack Obama,Tenth Circuit
"Motz, Diana Jane Gribbon",Fourth,William J. Clinton,Fourth Circuit
"Murguia, Mary Helen",Ninth,William J. Clinton,Ninth Circuit
"Murphy, Eric Earl",Sixth,Donald J. Trump,Sixth Circuit
"Murphy, Michael R.",Tenth,William J. Clinton,Tenth Circuit
"Nalbandian, John Baylor",Sixth,Donald J. Trump,Sixth Circuit
"Nardini, William Joseph",Second,Donald J. Trump,Second Circuit
"Nathan, Alison Julie",Second,Barack Obama,Second Circuit
"Nelson, Dorothy Wright",Ninth,Jimmy Carter,Ninth Circuit
"Nelson, Ryan Douglas",Ninth,Donald J. Trump,Ninth Circuit
"Newman, Jon Ormond",Second,Richard M. Nixon,Second Circuit
"Newman, Pauline",Federal,Ronald Reagan,Federal Circuit
"Newsom, Kevin Christopher",Eleventh,Donald J. Trump,Eleventh Circuit
"Nguyen, Jacqueline Hong-Ngoc",Ninth,Barack Obama,Ninth Circuit
"Niemeyer, Paul Victor",Fourth,Ronald Reagan,Fourth Circuit
"Norris, Alan Eugene",Sixth,Ronald Reagan,Sixth Circuit
"Nygaard, Richard Lowell",Third,Ronald Reagan,Third Circuit
"O'Brien, Terrence L.",Tenth,George W. Bush,Tenth Circuit
"O'Scannlain, Diarmuid Fionntain",Ninth,Ronald Reagan,Ninth Circuit
"Oldham, Andrew Stephen",Fifth,Donald J. Trump,Fifth Circuit
"Owens, John Byron",Ninth,Barack Obama,Ninth Circuit
"Paez, Richard A.",Ninth,William J. Clinton,Ninth Circuit
"Pan, Florence Y.",District,Joseph R. Biden,District Of Columbia Circuit
"Park, Michael Hun",Second,Donald J. Trump,Second Circuit
"Parker, Barrington Daniels, Jr.",Second,William J. Clinton,Second Circuit
"Pérez, Myrna",Second,Joseph R. Biden,Second Circuit
"Phillips, Gregory Alan",Tenth,Barack Obama,Tenth Circuit
"Phipps, Peter Joseph",Third,Donald J. Trump,Third Circuit
"Pillard, Cornelia Thayer Livingston",District,Barack Obama,District Of Columbia Circuit
"Plager, S. Jay",Federal,George H.W. Bush,Federal Circuit
"Porfilio, John Carbone",Tenth,Ronald Reagan,Tenth Circuit
"Porter, David James",Third,Donald J. Trump,Third Circuit
"Prost, Sharon",Federal,George W. Bush,Federal Circuit
"Pryor, Doris Lenea",Seventh,Joseph R. Biden,Seventh Circuit
"Pryor, Jill Anne",Eleventh,Barack Obama,Eleventh Circuit
"Pryor, William Holcombe, Jr.",Eleventh,George W. Bush,Eleventh Circuit
"Quattlebaum, A. Marvin, Jr.",Fourth,Donald J. Trump,Fourth Circuit
"Raggi, Reena",Second,Ronald Reagan,Second Circuit
"Ramirez, Irma Carrillo",Fifth,Joseph R. Biden,Fifth Circuit
"Randolph, Arthur Raymond",District,George H.W. Bush,District Of Columbia Circuit
"Rao, Neomi Jehangir",District,Donald J. Trump,District Of Columbia Circuit
"Rawlinson, Johnnie B.",Ninth,William J. Clinton,Ninth Circuit
"Readler, Chad Andrew",Sixth,Donald J. Trump,Sixth Circuit
"Rendell, Marjorie O.",Third,William J. Clinton,Third Circuit
"Restrepo, Luis Felipe",Third,Barack Obama,Third Circuit
"Reyna, Jimmie V.",Federal,Barack Obama,Federal Circuit
"Richardson, Julius Ness",Fourth,Donald J. Trump,Fourth Circuit
"Richman, Priscilla",Fifth,George W. Bush,Fifth Circuit
"Rikelman, Julie",First,Joseph R. Biden,First Circuit
"Ripple, Kenneth Francis",Seventh,Ronald Reagan,Seventh Circuit
"Robinson, Beth",Second,Joseph R. Biden,Second Circuit
"Rogers, John M.",Sixth,George W. Bush,Sixth Circuit
"Rogers, Judith Ann Wilson",District,William J. Clinton,District Of Columbia Circuit
"Rosenbaum, Robin Stacie",Eleventh,Barack Obama,Eleventh Circuit
"Rossman, Veronica Sophia",Tenth,Joseph R. Biden,Tenth Circuit
"Roth, Jane Richards",Third,Ronald Reagan,Third Circuit
"Rovner, Ilana Kara Diamond",Seventh,Ronald Reagan,Seventh Circuit
"Rushing, Allison Jones",Fourth,Donald J. Trump,Fourth Circuit
"Ryan, James Leo",Sixth,Ronald Reagan,Sixth Circuit
"Sack, Robert David",Second,William J. Clinton,Second Circuit
"Sanchez, Gabriel Patrick",Ninth,Joseph R. Biden,Ninth Circuit
"Schall, Alvin Anthony",Federal,George H.W. Bush,Federal Circuit
"Schroeder, Mary Murphy",Ninth,Jimmy Carter,Ninth Circuit
"Scirica, Anthony Joseph",Third,Ronald Reagan,Third Circuit
"Scudder, Michael Yale, Jr.",Seventh,Donald J. Trump,Seventh Circuit
"Selya, Bruce Marshall",First,Ronald Reagan,First Circuit
"Sentelle, David Bryan",District,Ronald Reagan,District Of Columbia Circuit
"Seymour, Stephanie Kulp",Tenth,Jimmy Carter,Tenth Circuit
"Shepherd, Bobby E.",Eighth,George W. Bush,Eighth Circuit
"Shwartz, Patty",Third,Barack Obama,Third Circuit
"Siler, Eugene Edward, Jr.",Sixth,Gerald Ford,Sixth Circuit
"Silverman, Barry G.",Ninth,William J. Clinton,Ninth Circuit
"Smith, D[avid] Brooks",Third,Ronald Reagan,Third Circuit
"Smith, Jerry Edwin",Fifth,Ronald Reagan,Fifth Circuit
"Smith, Lavenski R.",Eighth,George W. Bush,Eighth Circuit
"Smith, Milan Dale, Jr.",Ninth,George W. Bush,Ninth Circuit
"Smith, N[orman] Randy",Ninth,George W. Bush,Ninth Circuit
"Southwick, Leslie",Fifth,George W. Bush,Fifth Circuit
"Srinivasan, Srikanth",District,Barack Obama,District Of Columbia Circuit
"St. Eve, Amy Joan",Seventh,George W. Bush,Seventh Circuit
"Stapleton, Walter King",Third,Richard M. Nixon,Third Circuit
"Stark, Leonard Philip",Federal,Barack Obama,Federal Circuit
"Stewart, Carl E.",Fifth,William J. Clinton,Fifth Circuit
"Stoll, Kara Farnandez",Federal,Barack Obama,Federal Circuit
"Stranch, Jane Branstetter",Sixth,Barack Obama,Sixth Circuit
"Stras, David Ryan",Eighth,Donald J. Trump,Eighth Circuit
"Straub, Chester J.",Second,William J. Clinton,Second Circuit
"Suhrheinrich, Richard Fred",Sixth,Ronald Reagan,Sixth Circuit
"Sullivan, Richard Joseph",Second,George W. Bush,Second Circuit
"Sung, Jennifer",Ninth,Joseph R. Biden,Ninth Circuit
"Sutton, Jeffrey S.",Sixth,George W. Bush,Sixth Circuit
"Sykes, Diane S.",Seventh,George W. Bush,Seventh Circuit
"Tallman, Richard C.",Ninth,William J. Clinton,Ninth Circuit
"Taranto, Richard Gary",Federal,Barack Obama,Federal Circuit
"Tashima, Atsushi Wallace",Ninth,Jimmy Carter,Ninth Circuit
"Thacker, Stephanie Dawn",Fourth,Barack Obama,Fourth Circuit
"Thapar, Amul Roger",Sixth,George W. Bush,Sixth Circuit
"Thomas, Holly Aiyisha",Ninth,Joseph R. Biden,Ninth Circuit
"Thomas, Sidney Runyan",Ninth,William J. Clinton,Ninth Circuit
"Thompson, Ojetta Rogeriee",First,Barack Obama,First Circuit
"Tjoflat, Gerald Bard",Fifth,Richard M. Nixon,Fifth Circuit
"Traxler, William Byrd, Jr.",Fourth,George H.W. Bush,Fourth Circuit
"Trott, Stephen S.",Ninth,Ronald Reagan,Ninth Circuit
"Tymkovich, Timothy M.",Tenth,George W. Bush,Tenth Circuit
"VanDyke, Lawrence James Christopher",Ninth,Donald J. Trump,Ninth Circuit
"Walker, John Mercer, Jr.",Second,Ronald Reagan,Second Circuit
"Walker, Justin Reed",District,Donald J. Trump,District Of Columbia Circuit
"Wallace, John Clifford",Ninth,Richard M. Nixon,Ninth Circuit
"Wallach, Evan Jonathan",Federal,William J. Clinton,Federal Circuit
"Wardlaw, Kim McLane",Ninth,William J. Clinton,Ninth Circuit
"Wesley, Richard C.",Second,George W. Bush,Second Circuit
"White, Helene N.",Sixth,George W. Bush,Sixth Circuit
"Wiener, Jacques Loeb, Jr.",Fifth,George H.W. Bush,Fifth Circuit
"Wilkins, Robert Leon",District,Barack Obama,District Of Columbia Circuit
"Wilkinson, James Harvie III",Fourth,Ronald Reagan,Fourth Circuit
"Willett, Don R.",Fifth,Donald J. Trump,Fifth Circuit
"Wilson, Charles R.",Eleventh,William J. Clinton,Eleventh Circuit
"Wilson, Cory Todd",Fifth,Donald J. Trump,Fifth Circuit
"Wollman, Roger Leland",Eighth,Ronald Reagan,Eighth Circuit
"Wood, Diane Pamela",Seventh,William J. Clinton,Seventh Circuit
"Wynn, James Andrew, Jr.",Fourth,Barack Obama,Fourth Circuit
