name,circuit,president
"Stras, David Ryan",Eighth,Donald J. Trump
"Straub, Chester J.",Second,William J. Clinton
"Suhrheinrich, Richard Fred",Sixth,Ronald Reagan
"Sullivan, Richard Joseph",Second,George W. Bush
"Sung, Jennifer",Ninth,Joseph R. Biden
"Sutton, Jeffrey S.",Sixth,George W. Bush
"Sykes, Diane S.",Seventh,George W. Bush
"Tallman, Richard C.",Ninth,William J. Clinton
"Taranto, Richard Gary",Federal,Barack Obama
"Tashima, Atsushi Wallace",Ninth,Jimmy Carter
"Tatel, David S.",District,William J. Clinton
"Thacker, Stephanie Dawn",Fourth,Barack Obama
"Thapar, Amul Roger",Sixth,George W. Bush
"Thomas, Holly Aiyisha",Ninth,Joseph R. Biden
"Thomas, Sidney Runyan",Ninth,William J. Clinton
"Thompson, Ojetta Rogeriee",First,Barack Obama
"Tjoflat, Gerald Bard",Fifth,Richard M. Nixon
"Traxler, William Byrd, Jr.",Fourth,George H.W. Bush
"Trott, Stephen S.",Ninth,Ronald Reagan
"Tymkovich, Timothy M.",Tenth,George W. Bush
"VanDyke, Lawrence James Christopher",Ninth,Donald J. Trump
"Walker, John Mercer, Jr.",Second,Ronald Reagan
"Walker, Justin Reed",District,Donald J. Trump
"Wallace, John Clifford",Ninth,Richard M. Nixon
"Wallach, Evan Jonathan",Federal,William J. Clinton
"Wardlaw, Kim McLane",Ninth,William J. Clinton
"Wesley, Richard C.",Second,George W. Bush
"White, Helene N.",Sixth,George W. Bush
"Wiener, Jacques Loeb, Jr.",Fifth,George H.W. Bush
"Wilkins, Robert Leon",District,Barack Obama
"Wilkinson, James Harvie III",Fourth,Ronald Reagan
"Willett, Don R.",Fifth,Donald J. Trump
"Wilson, Charles R.",Eleventh,William J. Clinton
"Wilson, Cory Todd",Fifth,Donald J. Trump
"Wollman, Roger Leland",Eighth,Ronald Reagan
"Wood, Diane Pamela",Seventh,William J. Clinton
"Wynn, James Andrew, Jr.",Fourth,Barack Obama
